ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
49,UYMVD_2008_5_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/05/08,"59,01",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
50,UYMVD_2008_5_23_24,UYMVD_PM2_D ,24,PM2,ug/m3,23/05/08,"27,45",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
51,UYMVD_2008_6_3_24,UYMVD_PM2_D ,24,PM2,ug/m3,03/06/08,"71,95",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
52,UYMVD_2008_6_9_24,UYMVD_PM2_D ,24,PM2,ug/m3,09/06/08,"39,96",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
53,UYMVD_2008_6_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/06/08,"66,54",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
54,UYMVD_2008_7_2_24,UYMVD_PM2_D ,24,PM2,ug/m3,02/07/08,"55,28",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
55,UYMVD_2008_7_8_24,UYMVD_PM2_D ,24,PM2,ug/m3,08/07/08,"100,23",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
56,UYMVD_2008_7_14_24,UYMVD_PM2_D ,24,PM2,ug/m3,14/07/08,"56,25",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
57,UYMVD_2008_7_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/07/08,"22,49",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
58,UYMVD_2008_7_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/07/08,"37,35",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
59,UYMVD_2008_8_4_24,UYMVD_PM2_D ,24,PM2,ug/m3,04/08/08,"34,19",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
60,UYMVD_2008_8_14_24,UYMVD_PM2_D ,24,PM2,ug/m3,14/08/08,"58,39",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
61,UYMVD_2008_8_20_24,UYMVD_PM2_D ,24,PM2,ug/m3,20/08/08,"88,05",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
62,UYMVD_2008_8_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/08/08,"62,54",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
63,UYMVD_2008_8_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/08/08,"77,84",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
64,UYMVD_2008_9_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/09/08,"30,73",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
65,UYMVD_2008_9_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/09/08,"76,86",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
66,UYMVD_2008_10_1_24,UYMVD_PM2_D ,24,PM2,ug/m3,01/10/08,"13,47",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
67,UYMVD_2008_10_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/10/08,"71,2",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
68,UYMVD_2008_10_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/10/08,"24,41",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
69,UYMVD_2008_10_17_24,UYMVD_PM2_D ,24,PM2,ug/m3,17/10/08,"41,47",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
70,UYMVD_2008_10_28_24,UYMVD_PM2_D ,24,PM2,ug/m3,28/10/08,"18,29",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
71,UYMVD_2008_11_3_24,UYMVD_PM2_D ,24,PM2,ug/m3,03/11/08,"27,85",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
72,UYMVD_2008_11_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/11/08,"64,85",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
73,UYMVD_2008_11_17_24,UYMVD_PM2_D ,24,PM2,ug/m3,17/11/08,"30,02",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
74,UYMVD_2008_11_23_24,UYMVD_PM2_D ,24,PM2,ug/m3,23/11/08,"47,68",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
75,UYMVD_2008_11_29_24,UYMVD_PM2_D ,24,PM2,ug/m3,29/11/08,"35,78",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
76,UYMVD_2008_12_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/12/08,"31,28",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
